iter	Passed	Remaining
839	1723	328
840	1725	326
841	1728	324
842	1730	322
843	1732	320
844	1734	318
845	1737	316
846	1739	314
847	1741	312
848	1743	310
849	1746	308
850	1748	306
851	1750	304
852	1752	302
853	1754	300
854	1757	297
855	1759	295
856	1761	293
857	1763	291
858	1765	289
859	1767	287
860	1769	285
861	1771	283
862	1773	281
863	1776	279
864	1778	277
865	1780	275
866	1782	273
867	1785	271
868	1787	269
869	1789	267
870	1791	265
871	1793	263
872	1795	261
873	1798	259
874	1800	257
875	1802	255
876	1804	253
877	1806	250
878	1807	248
879	1809	246
880	1811	244
881	1813	242
882	1815	240
883	1817	238
884	1819	236
885	1821	234
886	1823	232
887	1825	230
888	1828	228
889	1829	226
890	1832	224
891	1833	222
892	1835	219
893	1837	217
894	1839	215
895	1841	213
896	1844	211
897	1846	209
898	1848	207
899	1850	205
900	1852	203
901	1854	201
902	1856	199
903	1858	197
904	1860	195
905	1862	193
906	1864	191
907	1866	189
908	1868	187
909	1870	185
910	1872	182
911	1874	180
912	1876	178
913	1878	176
914	1881	174
915	1883	172
916	1885	170
917	1888	168
918	1890	166
919	1892	164
920	1895	162
921	1897	160
922	1899	158
923	1901	156
924	1904	154
925	1907	152
926	1909	150
927	1911	148
928	1914	146
929	1916	144
930	1918	142
931	1920	140
932	1922	138
933	1924	136
934	1926	133
935	1928	131
936	1930	129
937	1933	127
938	1935	125
939	1937	123
940	1939	121
941	1941	119
942	1943	117
943	1945	115
944	1947	113
945	1949	111
946	1951	109
947	1953	107
948	1955	105
949	1957	103
950	1959	100
951	1961	98
952	1963	96
953	1966	94
954	1968	92
955	1970	90
956	1972	88
957	1973	86
958	1975	84
959	1977	82
960	1979	80
961	1981	78
962	1983	76
963	1986	74
964	1988	72
965	1990	70
966	1992	67
967	1994	65
968	1996	63
969	1998	61
970	2000	59
971	2002	57
972	2004	55
973	2006	53
974	2008	51
975	2010	49
976	2012	47
977	2014	45
978	2016	43
979	2018	41
980	2020	39
981	2022	37
982	2024	35
983	2026	32
984	2028	30
985	2030	28
986	2032	26
987	2034	24
988	2036	22
989	2038	20
990	2040	18
991	2042	16
992	2044	14
993	2046	12
994	2048	10
995	2050	8
996	2052	6
997	2054	4
998	2056	2
999	2058	0
